brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,dimentions/depth,dimentions/width,dimentions: depth x width,features/0/description,features/1/description,upc,weight,URL
Dell,i7430-7374SLV-PUS,4.7,1088,690,USD,8.92,12.36,8.92 x 12.36,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",7.94E+11,3.2 pounds,https://www.bestbuy.com/site/Dell-i7430-7374SLV-PUS/
Dell,i3520-5810BLK-PUS,4.6,839,690,USD,9.27,14.11,9.27 x 14.11,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.,6.42E+11,14 pounds,https://www.bestbuy.com/site/Dell-i3520-5810BLK-PUS/
Lenovo,82YL0002US,4.7,127,690,USD,8.76,12.51,8.76 x 12.51,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,6.42E+11,14 pounds,https://www.bestbuy.com/site/Lenovo-82YL0002US/
Microsoft,DTI-00001,4.7,926,690,USD,7.9,11.5,7.9 x 11.5,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Iconic 2-in-1 design transforms into what you need, when you need it – a full laptop with keyboard, * ultra-portable tablet, perfectly angled digital canvas, or docked workstation.",6.42E+11,14 pounds,https://www.bestbuy.com/site/Microsoft-DTI-00001/
Microsoft,R1S-00062,4.7,422,690,USD,8.8,12.1,8.8 x 12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",6.42E+11,14 pounds,https://www.bestbuy.com/site/Microsoft-R1S-00062/
Dell,i7630-7312SLV-PUS,4.7,944,690,USD,9.91,14.05,9.91 x 14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",6.42E+11,14 pounds,https://www.bestbuy.com/site/Dell-i7630-7312SLV-PUS/
Lenovo,82R400DTUS,4.7,209,690,USD,14.17,9.29,14.17 x 9.29,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.14E+11,1.2 pounds,https://www.bestbuy.com/site/Lenovo-82R400DTUS/
Lenovo,82YL0005US,4.8,695,690,USD,8.76,12.51,8.76 x 12.51,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.14E+11,1.2 pounds,https://www.bestbuy.com/site/Lenovo-82YL0005US/
Samsung,NP750QFG-KA1US,4.8,516,690,USD,13.99,8.98,13.99 x 8.98,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests.",8.14E+11,1.2 pounds,https://www.bestbuy.com/site/Samsung-NP750QFG-KA1US/
ASUS,Q410VA-EVO.I5512,4.7,363,690,USD,12.67,8.88,12.67 x 8.88,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","The 14.5"" OLED 2880 x 1800 120Hz display boasts impressive color and clarity with a smooth 0.2ms response time. VESA Display HDR 500 True Black certification and TUV-certified 70% blue-light reduction.",7.52E+11,13.2 pounds,https://www.bestbuy.com/site/ASUS-Q410VA-EVO.I5512/
